id,name,album_id,popularity,url,track_number,valence
7d866R1Gufku8C1pYJMiWm,I Threw A Brick Through A Window - Remastered 2008,73XkxLkaK4D7WMSILmpRDt,3,,3,0.67
0zAvNKf1AWPJWOt2IMRub4,Rejoice - Remastered 2008,73XkxLkaK4D7WMSILmpRDt,2,,4,0.618
5YHLAY7WQrNvfOn1mNFOen,Fire - Remastered 2008,73XkxLkaK4D7WMSILmpRDt,2,,5,0.39
60VIl8x0ffzeANtnqUouJf,Tomorrow - Remastered 2008,73XkxLkaK4D7WMSILmpRDt,2,,6,0.17
4MjWSq8H7v1Dofrz7qkthr,October - Remastered 2008,73XkxLkaK4D7WMSILmpRDt,3,,7,0.108
006beWkbuYxVlyxFPSkDRK,With A Shout (Jerusalem) - Remastered 2008,73XkxLkaK4D7WMSILmpRDt,3,,8,0.636
7eTPFp1YLor55JPe6rLFUm,Stranger In A Strange Land - Remastered 2008,73XkxLkaK4D7WMSILmpRDt,2,,9,0.379
2yZfMv9uWSuvQcHqVXH48X,Scarlet - Remastered 2008,73XkxLkaK4D7WMSILmpRDt,2,,10,0.429
0apQFIG94WpGyCFEGVn6JJ,Is That All? - Remastered 2008,73XkxLkaK4D7WMSILmpRDt,2,,11,0.481
1gVVSmhWjci8l9Vrsl6HaS,Vertigo,5PQPur1PEZFDkI0AXbxFlB,63,,1,0.632
2b6pyyrxfP79LhV2hLtTm4,Miracle Drug,5PQPur1PEZFDkI0AXbxFlB,44,,2,0.133
6fzcnVO0X2cpYjsHk19GJo,Sometimes You Can't Make It On Your Own,5PQPur1PEZFDkI0AXbxFlB,56,,3,0.346
4JMwWWZXsqDy55G1ZhGV8m,Love And Peace Or Else,5PQPur1PEZFDkI0AXbxFlB,38,,4,0.221
2R3wzFFjNYc1z3PSoO8FNV,City Of Blinding Lights,5PQPur1PEZFDkI0AXbxFlB,58,,5,0.198
7eFTNCuoCYmzfdd7PLaw9r,All Because Of You,5PQPur1PEZFDkI0AXbxFlB,41,,6,0.437
4lmQjE7oyemSZtaKTxz2Lk,A Man And A Woman,5PQPur1PEZFDkI0AXbxFlB,40,,7,0.748
0ExjS2TkTWgmJdoXCa7rNx,Crumbs From Your Table,5PQPur1PEZFDkI0AXbxFlB,38,,8,0.25
46RCVIUm7IJU78nMO4zRzN,One Step Closer,5PQPur1PEZFDkI0AXbxFlB,36,,9,0.0685
6ml01NkC9AfM4OICOtRxEY,Original Of The Species,5PQPur1PEZFDkI0AXbxFlB,42,,10,0.278
1H5QOvCduwR93MWvlm0zks,Yahweh,5PQPur1PEZFDkI0AXbxFlB,37,,11,0.361
7LHVnaVTlArnux4kbyFb6q,Fast Cars,5PQPur1PEZFDkI0AXbxFlB,34,,12,0.625
0gzqZ9d1jIKo9psEIthwXe,Beautiful Day,7a5U0GPoAvT3gvEY66FRuN,72,,1,0.389
1klDPm7SfsS32hl7KHV9iy,Stuck In A Moment You Can't Get Out Of,7a5U0GPoAvT3gvEY66FRuN,62,,2,0.285
4BC2WQKrZdqMX6rHsvVbUy,Elevation,7a5U0GPoAvT3gvEY66FRuN,58,,3,0.384
3pUWV5hvXsI9diJ9TeNeCh,Walk On,7a5U0GPoAvT3gvEY66FRuN,56,,4,0.633
4Wjaa3vx2BiLGF01AZMlHb,Kite,7a5U0GPoAvT3gvEY66FRuN,45,,5,0.2
1NBf3nsIIaBTikQzV5hICg,In A Little While,7a5U0GPoAvT3gvEY66FRuN,53,,6,0.51
0yU5K8BVb8N1UTHk2POblO,Wild Honey,7a5U0GPoAvT3gvEY66FRuN,41,,7,0.385
7iiWVxIbSWNKZBUxxt8dC5,Peace On Earth,7a5U0GPoAvT3gvEY66FRuN,38,,8,0.302
0sUel4RFYFqMEdsyQdQXg6,When I Look At The World,7a5U0GPoAvT3gvEY66FRuN,39,,9,0.528
0nNNoP2ldom1hm3Pptbv2Y,New York,7a5U0GPoAvT3gvEY66FRuN,38,,10,0.597
1ERxZwkfoHM91tdOWVPI78,Grace,7a5U0GPoAvT3gvEY66FRuN,37,,11,0.329
